Language,GitURL,GitRef,BuildTool,BuildStatus,FileCount,LinesofCode,PackageCount,DependencyCount,QuickScanDuration,FullScanDuration,TotalCPUCores,TotalMemory
java,https://github.com/syedmufiz05/crud_operation_WPITS,7c0249484710b5097512402c78e1343cb2c7f0ec,gradle,pass,94,3911,1,60,27,44,16,62
java,https://github.com/Hicoding-Groupware/hicoding-back,65b9fb0cebd034fbfbb1e3427b57433514cc510c,gradle,pass,109,3602,1,70,27,42,16,62
java,https://github.com/fine-ants/FineAnts-was,c8320839f07351a9cb9f26d75ee4d943566b4470,gradle,pass,214,9295,1,131,34,73,16,62
java,https://github.com/Suanna01/study,e7fac9bdc5eec49f5a8a07032b0291f015008ca9,gradle,pass,8,130,1,81,26,45,16,62
java,https://github.com/SmallMoonster/algo,49ba7872ac7068b920e0cc44b77d0469b812bd6d,gradle,pass,112,5224,1,8,21,25,16,62
java,https://github.com/Foozey/The-Gems-Project,75978f85d1ba68f0e218b72344c9671d2031d8ae,gradle,pass,62,4150,1,94,89,232,16,62
java,https://github.com/kikotc/ChaosTime2,f3d999a4c5b32d1a483d46572eaf00805c21fb95,gradle,pass,2,87,3,13,37,51,16,62
java,https://github.com/117HD/RLHD,be061cf33e513ddb18e268079a6326e1fd883f6b,gradle,pass,81,19155,1,31,37,45,16,62
java,https://github.com/GuanceCloud/java-profiling-demo,65ad385c6d9d693285893c4d39b66f7dbc3aaa35,gradle,pass,2,542,1,19,24,28,16,62
java,https://github.com/kawaiicakes/NoBullship,58a197b4d3e01cc4f2729f143fba7f14a69d82bc,gradle,pass,34,3748,1,94,98,221,16,62
java,https://github.com/iseungsoo07/TravelDiary,1275e54faa47329db0ea50a720455f8829dae795,gradle,pass,80,2995,1,164,35,122,16,62
java,https://github.com/JefferBarrera/retoTecnicoChoucair,f3cecd77e6e6f0f204a70836bba83e0afccda821,gradle,pass,9,208,1,249,42,66,16,62
java,https://github.com/pablojaviersantos/interviewing,6df84f62cd86339847b5b25317f36b93b6fb2751,gradle,pass,3,180,1,8,20,28,16,62
java,https://github.com/minecraft-modding-jpd/learning-minecraft-modding,ece9e8a4144a43ac03af58a8c8fea00d917329b9,gradle,pass,3,111,1,93,72,202,16,62
java,https://github.com/FRC7902/2023-Offseason,3aee5799526f7d7257a5b1640303eb78c20f017d,gradle,pass,27,767,1,26,32,40,16,62
java,https://github.com/XFactHD/FramedBlocks,c137bfcc82f961a6e722b96fe9f42c1e722071df,gradle,pass,6626,683933,1,102,130,293,16,62
java,https://github.com/palantir/gradle-consistent-versions,63a9f7eb55dc862679eede7e2d11ff497c377cc5,gradle,pass,40,4135,1,9,28,35,16,62
java,https://github.com/palantir/foundry-athena-query-federation-connector,8d72f29014307593fc61ae03adb2a828cde63662,gradle,pass,64,7086,3,63,46,85,16,62
java,https://github.com/kimsundae/JavaLab,7262d0fa28c00f4307b4de6b5b9a46053cee9065,gradle,pass,37,978,1,1,20,26,16,62
java,https://github.com/ThatsNasu/OpenIRC,8b5a92a0293ff5f226fa89067cffd7e2e1ea76e1,gradle,pass,4,254,1,3,23,27,16,62
java,https://github.com/bitbitedev/OpenLogLib,315e0cb25c238717098157bdd3c216480aa3aaa9,gradle,pass,14,367,1,1,22,25,16,62
java,https://github.com/JeongChan2/team4_v2sbm3c,1f944bf0690a157bf332c1dcfbc1fcb200af7b49,gradle,pass,73,4559,1,57,25,40,16,62
java,https://github.com/gunsookim/kpaas-was,4ea28db86d8a5440dbc86fc26bc2a7421db53062,gradle,pass,7,140,1,34,31,37,16,62
java,https://github.com/sh5i/git-stein,c077c4d5c476a0cf1b1b7a04d9232d896ddafbd7,gradle,pass,44,4286,1,42,25,40,16,62
java,https://github.com/xmlobjects/xml-objects,95527b115ca7caf1f40049d1586f2248df26511a,gradle,pass,53,5658,1,3,25,29,16,62
java,https://github.com/esm712/talaria,4326f89b0d7d8a2bf9d6f202b61d040dac59b8bd,gradle,pass,161,5789,1,88,31,61,16,62
java,https://github.com/rejahtavi/betterflight,ee61180892ff1668040059168030eb0b04af32bc,gradle,pass,15,845,1,97,75,223,16,62
java,https://github.com/kamrowcj0380/SubspaceMod,2f136a81dc341526185181ed6cb07420d211acef,gradle,pass,42,1379,1,93,77,214,16,62
java,https://github.com/Polarice3/Goety-2,3f617e4706c2dc1514ff62123faa1b5bf63e7958,gradle,pass,832,88395,1,96,93,237,16,62
java,https://github.com/thdus01/togetherclub-backend,eba34429de8daeaa44fb01ff23b8f5f5ba62a653,gradle,pass,41,1009,1,56,31,43,16,62
java,https://github.com/younv2/GIproject,3fb7c2a93720ce53c0cdac31f06bfc88e032ea95,gradle,pass,35,652,1,64,24,41,16,62
java,https://github.com/jimmy038/TeamProjectBackEnd,1e87ae6dec78f43e8c7b5facd63f974cbff5e84b,gradle,pass,24,950,1,66,25,43,16,62
java,https://github.com/ArcAnc/replaymod,01b68ae4fe58dcd14e95e092fdbae3d7a99f876b,gradle,pass,404,29882,1,144,60,272,16,62
java,https://github.com/122006/Zircon,5f2bdbad0631d60bc1922f6ce6691d8abd24848f,gradle,pass,59,7048,8,41,76,118,16,62
